id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
776808,Stay in Lonely Planet's Pick  B&B | (Phone number hidden by Airbnb) E,4041434,Valérie,Bordeaux,Nansouty - Saint Gens,44.8256,-0.58388,Private room,80,2,3,2018-12-02,0.09,2,227
777417,Blue Lodge B&B | protected area | (Phone number hidden by Airbnb) E,4041434,Valérie,Bordeaux,Nansouty - Saint Gens,44.82579,-0.58352,Private room,89,2,7,2018-06-26,0.22,2,238
779477,CENTRE 3 CHAMBRES/6PERS MAX/TRES CALME,4085017,Richard Et Marie-Anne,Bordeaux,Centre ville (Bordeaux),44.84717,-0.58941,Entire home/apt,65,2,262,2019-05-19,3.44,1,198
783449,Independent Room on garden !,4057188,Virginie,Bordeaux,Saint Augustin - Tauzin - Alphonse Dupeux,44.8296,-0.5993,Private room,49,1,444,2019-05-17,5.65,3,341
793565,Appartement familial à Bordeaux,4180716,Stéphanie,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.85435,-0.57755,Entire home/apt,100,3,0,,,1,0
793746,Chamber of hotes Bordeaux centers,4181425,Christine,Bordeaux,Bordeaux Sud,44.82762,-0.57117,Entire home/apt,70,2,214,2019-05-22,2.75,2,284
801440,Studio in full center of Bordeaux,4181425,Christine,Bordeaux,Bordeaux Sud,44.82946,-0.57251,Entire home/apt,70,2,382,2019-05-13,5.00,2,262
805226,Chambre Centre de Bordeaux #2,4236484,Sophie,Bordeaux,Centre ville (Bordeaux),44.84614,-0.58054,Private room,42,2,28,2019-05-03,0.36,1,349
806933,La Maison du Bassin à Flots,4247258,Géraldine,Bordeaux,Bordeaux Maritime,44.86103,-0.56561,Entire home/apt,104,2,58,2019-04-22,0.78,3,282
807733,Atypical bedroom - old hyper center,4250048,Julie Et Alexis,Bordeaux,Centre ville (Bordeaux),44.83864,-0.56383,Private room,50,2,297,2019-05-06,3.92,1,5
813125,LA BORDELAISE New Bed & Breakfast,4273204,Alain,Cenon,Palmer-Gravires-Cavailles,44.86135,-0.51667,Private room,58,4,0,,,1,167
823341,"""The cherub"" - Historical center",4322810,Alexandre,Bordeaux,Bordeaux Sud,44.83134,-0.57183,Entire home/apt,90,4,15,2014-10-28,0.20,1,0
835418,Appartement quartier calme et centre de Bordeaux,4368940,Hélène,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.85239,-0.58688,Entire home/apt,53,7,1,2017-08-19,0.05,1,0
837713,"  Near Bordeaux, in a house...",1909665,Gisèle Et Guy,Carbon-Blanc,Carbon-Blanc,44.90228,-0.50126,Private room,27,5,25,2019-04-23,0.35,2,326
845788,Lovely apartment in the center,4310833,Jean-Christophe,Bordeaux,Centre ville (Bordeaux),44.8365,-0.5745,Entire home/apt,105,2,48,2019-04-27,0.64,15,61
845807,Beautiful apartment Jardin Public,4310833,Jean-Christophe,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.85252,-0.57726,Entire home/apt,105,2,8,2019-04-10,0.11,15,114
845815,Beautiful Apartment with Terrace ,4310833,Jean-Christophe,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.85057,-0.57583,Entire home/apt,95,2,21,2018-11-17,0.29,15,141
856891,Maison d'architecte de caractère,1924713,Jean-François,Bordeaux,Caudran,44.85952,-0.61226,Entire home/apt,300,2,35,2019-05-12,0.85,1,330
863828,Center B&B with terrace and parking,4245270,Anne,Bordeaux,Bordeaux Sud,44.82276,-0.55014,Private room,50,2,177,2019-04-30,2.38,1,63
864393,Bedroom in Bordeaux family home   ,4216040,Jean,Bordeaux,Caudran,44.85007,-0.59843,Private room,170,7,0,,,3,90
865244,Bungalow Independ quiet and sunny ,4543023,Jean Guillaume,Merignac,Arlac,44.82765,-0.61896,Entire home/apt,59,2,66,2019-03-13,0.88,1,49
867488,"El Patio, Jacuzzi in city center",4561878,Béatrice & Sébastien,Bordeaux,Bordeaux Sud,44.8324,-0.57431,Entire home/apt,280,2,72,2019-04-26,0.99,8,249
871614,Chambre dans immeuble face à la  Garonne,1645774,Anne-Marie,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.85141,-0.56993,Private room,50,2,0,,,1,88
872870,"Esprit Zen, Turkish bath pleasure",4561878,Béatrice & Sébastien,Bordeaux,Bordeaux Sud,44.8335,-0.57406,Entire home/apt,350,2,50,2019-05-06,0.70,8,272
872948,"Dolce Vita, A soft life in Bordeaux",4561878,Béatrice & Sébastien,Bordeaux,Bordeaux Sud,44.83196,-0.5756,Entire home/apt,76,2,20,2019-04-15,0.28,8,239
872979,"Duo, small but smart flat for 2",4561878,Béatrice & Sébastien,Bordeaux,Bordeaux Sud,44.83387,-0.5753,Entire home/apt,80,2,18,2019-03-01,0.26,8,191
878032,bed and breakfast,4639813,Isabelle,Pessac,France Alouette,44.78298,-0.68522,Private room,135,1,1,2015-08-01,0.02,3,362
878623,CITY CENTRE BRIGHT HOUSE 130M+AC QUIET GARDEN,4643232,Claire,Bordeaux,Caudran,44.85643,-0.60508,Entire home/apt,200,2,128,2019-05-19,1.71,1,75
880024,20 accommodated in the same place,4561878,Béatrice & Sébastien,Bordeaux,Bordeaux Sud,44.83186,-0.57454,Entire home/apt,890,2,25,2019-03-10,0.35,8,181
880178,"Gite ""Carlito"" (for 2 people).",4561878,Béatrice & Sébastien,Gradignan,Gradignan,44.7558,-0.62251,Private room,80,3,11,2018-09-06,0.14,8,103
